,id,full_name,first_name,last_name,is_active
402,1630243,Trevelin Queen,Trevelin,Queen,True
403,1629674,Neemias Queta,Neemias,Queta,True
404,1630193,Immanuel Quickley,Immanuel,Quickley,True
405,1631311,Lester Quinones,Lester,Quinones,True
406,203944,Julius Randle,Julius,Randle,True
407,1630559,Austin Reaves,Austin,Reaves,True
408,1629629,Cam Reddish,Cam,Reddish,True
409,1628432,Davon Reed,Davon,Reed,True
410,1630194,Paul Reed,Paul,Reed,True
411,1629675,Naz Reid,Naz,Reid,True
412,1631197,Jared Rhoden,Jared,Rhoden,True
413,1630208,Nick Richards,Nick,Richards,True
414,1626196,Josh Richardson,Josh,Richardson,True
415,203085,Austin Rivers,Austin,Rivers,True
416,1629130,Duncan Robinson,Duncan,Robinson,True
417,1629011,Mitchell Robinson,Mitchell,Robinson,True
418,1631115,Orlando Robinson,Orlando,Robinson,True
419,1630526,Jeremiah Robinson-Earl,Jeremiah,Robinson-Earl,True
420,1629676,Isaiah Roby,Isaiah,Roby,True
421,1631223,David Roddy,David,Roddy,True
422,1631157,Ryan Rollins,Ryan,Rollins,True
423,201565,Derrick Rose,Derrick,Rose,True
424,203082,Terrence Ross,Terrence,Ross,True
425,1626179,Terry Rozier,Terry,Rozier,True
426,201937,Ricky Rubio,Ricky,Rubio,True
427,1626156,D'Angelo Russell,D'Angelo,Russell,True
428,1630346,Matt Ryan,Matt,Ryan,True
429,1627734,Domantas Sabonis,Domantas,Sabonis,True
430,203967,Dario Saric,Dario,Saric,True
431,1630846,Olivier Sarr,Olivier,Sarr,True
432,1630648,Jordan Schakel,Jordan,Schakel,True
433,1629678,Admiral Schofield,Admiral,Schofield,True
434,203471,Dennis Schroder,Dennis,Schroder,True
435,1631220,Dereon Seabron,Dereon,Seabron,True
436,1630578,Alperen Sengun,Alperen,Sengun,True
437,1629012,Collin Sexton,Collin,Sexton,True
438,1629013,Landry Shamet,Landry,Shamet,True
439,1630549,Day'Ron Sharpe,Day'Ron,Sharpe,True
